step,total_steps,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,0.3801867365837097,0.5,0.5345224738121033,,,8,4,4,0,4,0,0,0,0,80.57553168964088,50.875,0.0,1.069023609161377,
1,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,138.99120852427652,9.0,0.0,0.0,
2,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,144.27986692856533,8.0,0.0,0.0,
3,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,152.80114228766013,9.0,0.0,0.0,
4,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,162.2861305369,9.0,0.0,0.0,
5,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,157.9433723854547,9.0,0.0,0.0,
6,20,,1,0.0,,,8,1,8,0,0,0,0,0,0,165.56264441166263,9.0,0.0,0.0,
7,20,,0,0.0,,,0,0,0,0,0,8,4,0,4,171.00558692844663,9.0,0.0,0.0,
8,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,162.5315186496788,9.0,0.0,0.0,
9,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,143.06101026049623,8.0,0.0,0.0,
10,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,158.25214893561918,9.0,0.0,0.0,
11,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,150.5405936157638,8.0,0.0,0.0,
12,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,158.58758659455097,9.0,0.0,0.0,
13,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,146.5972265728939,8.0,0.0,0.0,
14,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,159.68037320158882,9.0,0.0,0.0,
15,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,166.27903488925926,9.0,0.0,0.0,
16,20,,1,0.0,,,8,1,8,0,0,0,0,0,0,98.76084693707901,13.75,0.0,0.0,
17,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,168.402458660769,9.875,0.0,0.0,
18,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,163.48015941591711,9.0,0.0,0.0,
19,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,157.76816456758277,9.0,0.0,0.0,
