step,total_steps,loss,reward_avg,reward_std,kl_loss,policy_ratio,num_answerable,correct_of_answerable,answered_of_answerable,abstained_of_answerable,malformed_of_answerable,num_unanswerable,answered_of_unanswerable,abstained_of_unanswerable,malformed_of_unanswerable,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg
0,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,162.2178331849282,9.0,0.0,0.0,
1,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,162.05996220867485,9.0,0.0,0.0,
2,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,162.80753115277835,8.0,0.0,0.0,
3,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,162.99843151556735,9.0,0.0,0.0,
4,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,169.94544338883424,9.0,0.0,0.0,
5,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,167.43452689576122,9.0,0.0,0.0,
6,20,,1,0.0,,,8,2,8,0,0,0,0,0,0,173.55975757457222,9.0,0.0,0.0,
7,20,,0,0.0,,,0,0,0,0,0,8,7,0,1,179.16867608400793,9.0,0.0,0.0,
8,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,174.14506144716762,9.0,0.0,0.0,
9,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,143.55258233258678,8.0,0.0,0.0,
10,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,168.34009850328965,9.0,0.0,0.0,
11,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,168.59669249730615,8.0,0.0,0.0,
12,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,165.31811553986958,9.0,0.0,0.0,
13,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,153.95571483910007,8.0,0.0,0.0,
14,20,,1,0.0,,,8,8,8,0,0,0,0,0,0,161.40796492035173,8.0,0.0,0.0,
15,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,143.32338234534416,9.0,0.0,0.0,
16,20,,1,0.0,,,8,6,8,0,0,0,0,0,0,165.938827465793,9.0,0.0,0.0,
17,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,171.563320117986,9.0,0.0,0.0,
18,20,,1,0.0,,,8,0,8,0,0,0,0,0,0,171.64477892032426,9.0,0.0,0.0,
19,20,,0,0.0,,,0,0,0,0,0,8,8,0,0,163.25853433069142,9.0,0.0,0.0,
